Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Botswana,BWA,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09328,0.09656,0.09984,0.10312,0.1064,0.1097,0.113,0.1231333333,0.1332666667,0.1434,0.15352,0.16364,0.17376,0.18388,0.194,0.1942909091,0.1945818182,0.1948727273,0.1951636364,0.1954545455,0.1957454545,0.1960363636,0.1963272727,0.1966181818,0.1969090909,0.1972,0.1944,0.19115,0.1879,0.1879,0.2013,0.193,0.204,0.202,0.2204276,,
Central African Republic,CAF,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0194,0.023,0.0266,0.0302,0.0338,0.0374,0.041,0.0446,0.0482,0.0518,0.0554,0.059,0.0626,0.0662,0.06746,0.06872,0.06998,0.07124,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,,
Canada,CAN,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,42.7786,43.3572,43.9358,44.5117,45.091,44.515,43.939,43.363,42.787,42.211,42.12975455,42.04850909,41.96726364,41.88601818,41.80477273,41.72352727,41.64228182,41.56103636,41.47979091,41.39854545,41.3173,40.0573,38.7973,37.19865,35.6,36.44,37.28,36.505,35.73,35.9915,36.253,36.253,36.253,36.253,,
Central Europe and the Baltics,CEB,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3391,32.50034264,32.29945787,33.26313756,32.1842405,30.403123,29.7091533,,
Switzerland,CHE,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,2.598,2.5962,2.5944,2.5926,2.5908,2.589,2.6004,2.6118,2.6232,2.6346,2.646,2.653,2.66,2.667,2.674,2.681,2.688,2.695,2.66762,2.64024,2.61286,2.58548,2.5581,2.55008,2.54206,2.53404,2.52602,2.518,2.46665,2.4153,2.36395,2.3126,2.26125,2.2099,2.15855,2.1072,2.05585,2,1.72,1.704,1.705917,1.704,1.704,1.704,1.704,1.704,,
Channel Islands,CHI,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2852,21.36662857,22.44805714,23.52948571,24.61091429,25.69234286,26.77377143,27.8552,28.93662857,30.01308214,31.08953571,32.13071429,33.20714286,34.28357143,35.36,35.368,35.368,35.368,35.368,35.368,35.368,35.368,35.368,35.368,35.368,35.368,35.368,35.368,35.368,,
China,CHN,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,443.7,452.0825,460.465,468.8475,477.23,481.06,484.848,488.636,492.424,496.212,500,508.4666667,516.9333333,525.4,529.0428571,532.6857143,536.3285714,539.9714286,543.6142857,547.2571429,550.9,551.54,552.18,552.82,553.46,554.1,568,568.7,576.1,583.2,586.83,595,598.8,602.8,593.4,591.8,604.02,596.22,592.91,602.12,568.48,,
Cote d'Ivoire,CIV,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.709,0.8393333333,0.9696666667,1.1,1.133,1.166,1.199,1.232,1.261466667,1.290933333,1.3204,1.349866667,1.379333333,1.4088,1.43688,1.46496,1.49304,1.52112,1.5492,1.506177778,1.462111111,1.418566667,1.375805556,1.333044444,1.290283333,1.248044444,1.205022222,1.162,1.162,1.162,1.162,1.162,1.162,1.162,,
Cameroon,CMR,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396,0.3968,0.3976,0.3984,0.3992,0.4,0.4708,0.5416,0.6124,0.6832,0.754,0.8248,0.8956,0.9664,0.9908,1.0152,1.0396,1.064,1.0884,1.0884,1.0884,1.0884,1.0884,1.0884,1.0884,1.0884,1.0884,1.0884,1.0884,1.0884,1.0884,1.0884,1.0884,1.0884,,
