Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Population, total",SP.POP.TOTL,Uganda,UGA,17586630,18171935,18801966,19462958,20125021,20680831,21249572,21876935,22537658,23279247,24020697,24763325,25545090,26354736,27146084,27946588,28773227,29629804,30509862,31412520,32341728,33295738,34273295,35273570,36336539,37477356,38748299,40127085,41515395,42949080,44404611,45853778,47249585
"Population, total",SP.POP.TOTL,Ukraine,UKR,51891400,52000500,52150400,52179200,51921400,51512800,51057800,50594600,50144500,49674000,49176500,48662400,48202470,47812949,47451626,47105171,46787786,46509355,46258189,46053331,45870741,45706086,45593342,45489648,45272155,45154036,45004673,44831135,44622518,44386203,44132049,43822901,38000000
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,1900151,2008383,2116231,2223284,2329024,2433988,2572735,2746119,2921130,3097563,3275333,3454198,3633655,3813443,3993339,4280993,4898954,5872624,6988685,7992644,8481771,8575205,8664969,8751847,8835951,8916899,8994263,9068296,9140169,9211657,9287289,9365145,9441129
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081234,67026292,66971395
"Population, total",SP.POP.TOTL,United States,USA,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331511512,332031554,333287557
"Population, total",SP.POP.TOTL,Uruguay,URY,3117012,3135374,3153732,3171747,3189945,3208300,3226633,3245069,3262683,3278963,3292224,3300939,3306441,3310202,3313801,3317665,3322282,3328651,3336126,3344156,3352651,3361637,3371133,3381180,3391662,3402818,3413766,3422200,3427042,3428409,3429086,3426260,3422794
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20510000,20952000,21449000,21942000,22377000,22785000,23225000,23667000,24051000,24311650,24650400,24964450,25271850,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31847900,32388600,32956100,33580350,34232050,34915100,35648100
"Population, total",SP.POP.TOTL,Vanuatu,VUT,150882,154678,158577,162548,166560,170612,174714,178871,183088,187432,192074,197034,202125,207258,212422,217632,222923,228345,233952,239689,245453,251294,257313,263534,269927,276438,283218,290239,297298,304404,311685,319137,326740
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,19750579,20226214,20700461,21172100,21640833,22107286,22572110,23037561,23503819,23966960,24427729,24880203,25330929,25782029,26226927,26668785,27102081,27525097,27933833,28327892,28715022,29096159,29470426,29838021,30193258,30529716,30741464,30563433,29825653,28971683,28490453,28199867,28301696
"Population, total",SP.POP.TOTL,Viet Nam,VNM,66912613,68358820,69788747,71176405,72501087,73759110,74946448,76058603,77128424,78123713,79001142,79817777,80642308,81475825,82311227,83142095,83951800,84762269,85597241,86482923,87411012,88349117,89301326,90267739,91235504,92191398,93126529,94033048,94914330,95776716,96648685,97468029,98186856
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,103963,104807,105712,106578,107318,107818,108095,108357,108537,108599,108642,108549,108509,108505,108466,108453,108369,108337,108397,108404,108357,108290,108188,108041,107882,107712,107516,107281,107001,106669,106290,105870,105413
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,1978248,2068845,2163591,2262676,2366298,2474666,2587997,2706518,2776568,2848431,2922153,2997784,3075373,3154969,3236626,3320396,3406334,3494496,3591977,3689099,3786161,3882986,3979998,4076708,4173398,4270092,4367088,4454805,4569087,4685306,4803269,4922749,5043612
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,13375121,13895851,14433771,14988047,15553171,16103339,16614326,17108681,17608133,18114552,18628700,19143457,19660653,20188799,20733406,21320671,21966298,22641538,23329004,24029589,24743946,25475610,26223391,26984002,27753304,28516545,29274002,30034389,30790513,31546691,32284046,32981641,33696614
"Population, total",SP.POP.TOTL,Zambia,ZMB,7686401,7880466,8074337,8270917,8474216,8684135,8902019,9133156,9372430,9621238,9891136,10191964,10508294,10837973,11188040,11564870,11971567,12402073,12852966,13318087,13792086,14265814,14744658,15234976,15737793,16248230,16767761,17298054,17835893,18380477,18927715,19473125,20017675
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,10113893,10377815,10641501,10794918,10858594,10994041,11178171,11362401,11548364,11716454,11834676,11910978,11984644,12075828,12160881,12224753,12330490,12450568,12550347,12679810,12839771,13025785,13265331,13555422,13855753,14154937,14452704,14751101,15052184,15354608,15669666,15993524,16320537
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
