Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bahrain,BHR,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48535565,55.45630948,54.51216631,53.64283486,52.83976213,52.09565103,51.40423806,50.76011653,50.1585949,49.59558234,49.06749556,47.52823307,46.02070105,44.54392837,43.16694149,41.83808729,40.5548854,39.31502301,38.11634091,36.956821,35.83457492,34.74783381,33.69493898,32.67433346,31.68455436,32.16864663,33.31031308,33.31031308,33.31031308,33.31031308,33.31031308,,
"Bahamas, The",BHS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.68686869,27.81592703,26.91907635,25.99514307,25.04288165,24.06096897,24.04462116,24.02779334,24.01046406,23.99261055,23.97420868,25.16722408,26.40613587,27.69364449,29.0326665,30.42635659,31.04121475,31.66520979,32.2985469,32.9726289,29.99308915,29.47658402,30.85182534,29.90654206,27.02503682,27.61474793,,
Belize,BLZ,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,79.40253755,71.30613644,64.91885144,59.75116887,55.484221,51.90138736,55.83335708,58.4513728,61.26765684,63.43726779,65.16000021,66.56102935,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,,
Bermuda,BMU,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,85.74901618,86.4325138,87.05872927,87.63457398,88.16589044,88.65765125,89.11411514,89.53895072,89.93533517,90.30603395,90.65346535,90.97975332,91.09038936,91.19934403,91.30665534,91.41236022,91.51649446,91.61909281,91.720189,91.81981578,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,,
Brazil,BRA,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.92582468,60.25910491,59.60007206,58.94859395,58.30454141,57.66778821,57.03821095,56.41568902,55.80010448,55.19134199,54.58928879,56.21586894,57.63732129,58.89014723,60.00267272,58.70751589,57.32160732,55.83506224,54.23650623,54.0269665,60.86563113,60.03349574,58.36090226,63.07829181,61.63690476,,
Barbados,BRB,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.73049645,76.11111111,74.55782313,73.06666667,71.63398693,70.25641026,68.93081761,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,,
Brunei Darussalam,BRN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,,
