Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cambodia,KHM,16129.67076,15826.29911,16357.77676,17173.63581,15941.94546,18636.87911,18928.54935,19133.81418,19218.73032,20479.81126,19379.775,19390.02034,19829.20737,21317.35691,21182.08895,22592.75809,24165.85932,25321.33754,25950.61546,27279.84008,27846.2403,29108.37662,28708.07263,28694.76064,29452.73406,31144.32717,33920.89212,36540.98636,37519.1081,41947.80434,42363.17878,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cameroon,CMR,22792.04228,30637.48637,30181.88246,27668.22265,80763.86015,80369.21063,81400.01469,82329.50735,83978.55871,83857.37427,86000.34183,84779.88044,84581.43405,86015.55196,84204.96006,85410.52577,84322.52314,84891.85811,84798.27269,84806.95146,84904.12823,84494.81439,84908.66524,86705.138,88018.74226,89900.98421,91280.78223,90654.59205,91747.67378,92152.5733,93348.64392,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Canada,CAN,543049.4519,538980.8853,553364.7517,549384.5687,567481.6251,582560.9432,600567.0436,614964.0066,623218.5876,628407.1136,648194.3571,640276.5974,661256.3395,682672.0184,679689.9625,693709.7211,682555.9105,716335.7077,691864.5229,656853.9465,673672.8602,690328.581,690454.3552,702661.421,710549.609,708799.9174,709180.1212,725612.8229,742232.5371,726904.1199,677709.2227,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Central African Republic,CAF,16649.89732,16963.12132,17013.75702,17058.44311,19558.76201,19687.39341,21911.01245,22090.30719,24127.99393,21797.00358,24760.86522,20937.00352,18690.99393,23801.45033,21187.07724,22225.66634,22367.58146,22737.02708,23876.1998,19336.41262,21491.30474,22795.30024,19909.99414,21095.58984,20639.43834,21002.90194,22699.77251,20981.80529,21510.02287,19869.45835,21016.37573,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Chad,TCD,14595.47821,21017.03963,21879.49325,22802.68537,23817.6261,24818.95372,28238.67725,28864.08629,29688.62773,31698.33386,34514.9194,32806.38724,36824.60788,40683.32823,43887.55107,47750.26151,48490.98854,50381.40686,51551.89229,52256.24832,54742.78384,57191.3397,60192.87666,62716.78711,65261.99617,69860.08103,74323.30173,76767.20462,81268.12762,84292.90771,89558.45681,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Chile,CHL,45415.91931,44280.71904,45875.34577,48556.48231,52620.45798,56313.55247,62856.94279,69923.09482,71022.35765,73894.02818,70030.0334,67899.39687,68527.04914,69252.82561,74639.52957,75236.85374,76544.9087,84293.0117,89031.66989,86662.29099,91817.82978,98241.40312,100676.7049,103897.7388,96490.37495,102210.7159,106621.636,107321.0615,107364.6255,113466.4538,106722.3342,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,China,CHN,3238858.656,3386235.935,3515192.811,3744912.203,3904475.172,4307873.902,4328947.13,4324409.747,4442509.102,4375022.621,4567274.433,4759814.089,5053060.571,5724514.257,6489937.932,7263558.578,7942463.982,8551053.498,8805331.438,9380446.702,10211636.79,11089792.42,11374795.58,11861843.52,11940737.42,11804696.79,11773340.79,12014198.87,12524335.16,12732245.13,12942868.34,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Colombia,COL,124703.6395,126105.0075,129258.8196,134226.4687,136698.1773,140855.6741,141028.1486,146755.475,148793.9835,137507.4662,141245.692,143400.1128,141502.7824,143002.7025,144244.3916,145701.7786,146405.3219,151267.0656,153089.9338,156750.4298,162038.7755,166014.9048,164091.467,172344.8462,175835.9665,175033.6574,178893.9855,174466.4908,182787.6556,186444.7985,186999.3355,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Comoros,COM,258.076718,261.807674,267.302129,274.581085,277.61544,283.690696,288.106776,295.809357,311.265837,321.266618,304.466998,323.362506,328.319613,348.46422,364.668528,363.474035,404.567866,324.038998,350.15393,378.317761,418.213393,416.575656,434.206419,471.126282,458.308745,476.310008,505.139902,568.532195,593.247488,618.479881,619.946774,..,..
